地区,新增确诊,现有确诊,治愈,死亡
香港,7,167,11095,205
上海,3,45,1833,7
广东,3,39,2235,8
台湾,6,39,981,10
四川,0,18,927,3
云南,6,15,230,2
天津,0,12,358,3
陕西,0,11,553,3
福建,0,10,550,1
内蒙古,1,6,368,1
河南,0,6,1283,22
江苏,2,6,704,0
湖南,0,5,1033,4
甘肃,0,5,186,2
北京,0,3,1037,9
江西,0,2,934,1
浙江,0,2,1320,1
山西,0,1,240,0
湖北,0,1,63639,4512
山东,1,1,862,7
青海,0,0,18,0
宁夏,0,0,75,0
河北,0,0,1310,7
贵州,0,0,145,2
安徽,0,0,988,6
黑龙江,0,0,1597,13
海南,0,0,165,6
西藏,0,0,1,0
广西,0,0,265,2
澳门,0,0,48,0
新疆,0,0,977,3
辽宁,0,0,405,2
吉林,0,0,570,3
